range [25137,27202] : 104177726
range [68434,69891] : 75166468
range [19409,49524] : 508290058
range [3730,81890] : 923398701
range [47108,61887] : 742444769
range [2417,65363] : 154586938
range [55406,63449] : 401935307
range [87364,89342] : 98728779
range [26031,59256] : 665319819
range [66855,79556] : 639033635
range [8256,78847] : 542132072
range [12814,83377] : 542223154
range [10919,24799] : 693405937
range [72028,73903] : 92864015
range [72697,83897] : 562563634
range [9162,56041] : 350661501
range [32443,83613] : 571447432
range [1561,81970] : 35770539
range [89192,89272] : 3894078
range [63571,87854] : 221549068
range [39926,75702] : 794995692
range [79616,86490] : 345685552
range [28742,52564] : 194734882
range [51728,60586] : 445006811
range [70108,74350] : 212187255
range [89029,89119] : 4587622
range [58344,62125] : 191860143
range [20986,49672] : 437217579
range [16779,65255] : 429666443
range [15564,64570] : 455861764
range [63816,65148] : 67090837
range [25070,87129] : 117712762
range [41108,64130] : 152923985
range [40173,72163] : 607626311
range [7099,65928] : 950956310
range [13122,37126] : 200823838
range [35236,82488] : 376017879
range [43715,74716] : 555591371
range [34350,52587] : 916071347
range [10452,13789] : 167740522
range [36607,55729] : 960875568
range [4468,50467] : 304109727
range [34952,59603] : 235953215
range [88349,88863] : 27091452
range [33819,58714] : 247507116
range [66714,78632] : 598157776
range [72663,84226] : 581049778
range [13295,24802] : 574230422
range [28347,83122] : 750478346
range [32762,41528] : 442315919
range [68974,85102] : 811251956
range [42987,46993] : 199593841
range [84106,87908] : 190364205
range [72742,82199] : 476642005
range [28259,28371] : 5674315
range [16992,83999] : 361432133
range [88638,89151] : 25633603
range [78250,78489] : 12289718
range [29615,80249] : 541605305
range [68753,81387] : 638119789
range [68457,81273] : 647550005
range [45542,54418] : 444161228
range [37060,54397] : 871568966
range [75471,75515] : 2310439
range [51681,67180] : 780163482
range [10548,78604] : 414278967
range [10870,52518] : 88209966
range [51966,88882] : 856263853
range [77301,79608] : 116987637
range [36278,59815] : 179999282
range [15238,16484] : 63473919
range [65239,75183] : 500288832
range [22442,46473] : 206592934
range [58726,77579] : 948905859
range [85520,89053] : 177682567
range [2848,49158] : 319082624
range [49470,58002] : 426417622
range [50187,54868] : 237256123
range [8264,72875] : 242661063
range [79418,86114] : 338104153
range [52612,56722] : 205464457
range [13604,75684] : 112991649
range [62423,70600] : 413181376
range [70801,82322] : 579765853
range [82654,89229] : 328772561
range [80731,86282] : 279426675
range [83949,84869] : 45953654
range [1703,48081] : 322214274
range [76342,76892] : 28112219
range [84080,84742] : 32625701
range [34581,43118] : 430651181
range [57531,66483] : 449830695
range [2733,43137] : 24837130
range [64479,83885] : 977331855
range [26234,84174] : 910305846
range [6164,30474] : 219609341
range [10043,21689] : 583450358
range [18424,32956] : 725635124
range [66381,84015] : 887563144
range [28347,61950] : 684805045
range [27511,88189] : 46390664
range [2026,79997] : 910718557
range [80054,80602] : 28817223
range [41998,79689] : 892874763
range [61177,78442] : 869060688
range [84820,88180] : 167970480
range [8344,30022] : 87550395
range [38443,66987] : 435518440
range [19970,65775] : 297022977
range [29011,79744] : 546308999
range [12814,77226] : 232017594
range [54857,65982] : 557536686
range [1274,82169] : 60754282
range [23375,53859] : 532168049
range [72346,87780] : 774454887
range [60374,89025] : 441417289
range [42253,59687] : 872447997
range [24388,54855] : 530513750
range [48777,61375] : 632910053
range [13941,26115] : 608332058
range [73101,80231] : 358445370
range [86970,89096] : 106110941
range [16348,32300] : 796752987
range [52589,67409] : 745153802
range [43610,69321] : 289207913
range [31107,45592] : 728122453
range [78215,86512] : 418396430
range [62465,82939] : 31229344
range [53775,58161] : 216728908
range [74368,78553] : 210646198
range [27803,42177] : 722735481
range [30790,34812] : 199512097
range [59485,77830] : 923836854
range [57543,84167] : 339309310
range [30703,37225] : 324413758
range [87073,87782] : 34351981
range [51287,62417] : 558965750
range [52719,56728] : 200350724
range [40980,88194] : 370123965
range [37596,44805] : 365127338
range [59164,78135] : 955608738
range [15963,71991] : 812575098
range [64003,80850] : 849231011
range [8556,17849] : 467119878
range [27484,85520] : 915117383
range [80121,84492] : 220364144
range [83768,86628] : 144051591
range [72204,76851] : 231481371
range [40379,82706] : 128394222
range [53087,80617] : 384393306
range [32699,61076] : 425470933
range [20826,73697] : 652791038
range [62128,64740] : 130991448
range [35904,45942] : 505531444
range [83618,88088] : 224196838
range [63960,65260] : 66528802
range [64149,79432] : 770397788
range [72537,73235] : 34787690
range [51030,68909] : 897987828
range [32628,59988] : 373746344
range [17578,71094] : 685565476
range [38124,71084] : 658713319
range [71375,85620] : 715828481
range [44703,67943] : 166703266
range [41473,61719] : 15822284
range [81967,83083] : 54642175
range [25950,49168] : 165546597
range [3337,81630] : 930072651
range [76255,79006] : 139883625
range [29416,87087] : 895872734
range [86053,87109] : 52143655
range [22485,25734] : 162312548
range [68390,85854] : 880746500
range [8670,46452] : 895573803
range [21246,26055] : 239291641
range [30281,44298] : 704729107
range [68402,71615] : 163900306
range [19144,43796] : 235778501
range [78852,82596] : 190667324
range [11458,55598] : 212887176
range [85952,88695] : 136298805
range [69199,74104] : 246560619
range [62319,81092] : 946247175
range [67265,86206] : 953300954
range [29428,52191] : 140224710
range [2863,7069] : 207950648
range [88832,89157] : 15966876
range [77408,78696] : 64270339
range [12327,30474] : 910622936
range [55078,59399] : 214035343
range [73991,74491] : 25803049
range [23602,86765] : 174997892
range [40010,42768] : 138771400
range [59942,62539] : 131509715
range [34700,44396] : 489402418
range [65127,80301] : 764467310
range [10983,75127] : 218975371
range [58153,61603] : 175198025
range [1295,55479] : 716346779
range [42859,81154] : 924959215
range [15043,51731] : 838486708
range [63783,74606] : 545144355
range [5204,66538] : 75918010
range [67777,71582] : 191461883
range [88060,89352] : 64309246
range [25356,41762] : 824487704
range [77056,87128] : 507772351
range [27487,49612] : 109716536
range [69180,72235] : 154858364
range [61741,84871] : 163120372
range [15125,80229] : 268249602
range [6147,10638] : 225543591
range [20039,73636] : 689835787
range [56620,71500] : 750919849
range [28788,83219] : 734154129
range [59024,86094] : 365039374
range [79775,83293] : 177898510
range [39987,67067] : 360072539
range [7606,79400] : 604475965
range [82992,89056] : 303613571
range [52478,65927] : 675125108
range [5965,67028] : 63877041
range [61891,71005] : 459698564
range [15559,82854] : 378931225
range [45237,47859] : 130463589
range [32755,51538] : 943678545
range [38417,87268] : 456958630
range [13794,73100] : 976069166
range [15701,58781] : 157817379
range [59408,78357] : 954390628
range [85402,87672] : 114093538
range [60556,79465] : 951462649
range [58450,66494] : 406238439
range [53284,75133] : 98152983
range [7,58546] : 932549354
range [75701,76903] : 60737864
range [26951,56145] : 465917364
range [87526,88553] : 51691431
range [54557,67093] : 630064649
range [67238,69013] : 87248459
range [57867,60983] : 157931126
range [13028,28597] : 780782022
range [70855,72740] : 94265834
range [19473,85739] : 327066118
range [57033,61945] : 247294831
range [64172,83312] : 965334485
range [77595,84448] : 345708392
range [18189,56602] : 923739700
range [27692,79980] : 626361775
range [20938,34993] : 702836246
range [79666,81531] : 95121034
range [75417,81312] : 298701408
range [45204,71482] : 320297138
range [81184,83256] : 103841778
range [60744,71120] : 523566611
range [23922,75749] : 601752786
range [49359,50571] : 60166853
range [75717,78438] : 138130789
range [61641,86087] : 231972766
range [5293,75882] : 539977245
range [74524,81678] : 361330537
range [28189,37756] : 476632506
range [68752,80288] : 581909451
range [387,63258] : 150440618
range [71582,87382] : 793285147
range [11257,73623] : 129509959
range [11749,81788] : 517198282
range [50554,70005] : 979163191
range [61591,82151] : 37061008
range [71613,80727] : 458684476
range [6686,12661] : 299838823
range [1159,86995] : 307421855
range [25420,78442] : 663717707
range [51802,77105] : 271788046
range [69401,74877] : 275783682
range [58860,73363] : 730930124
range [41080,63844] : 141643513
range [51795,81458] : 494229448
range [82473,89030] : 327616069
range [29308,52628] : 168679011
range [44625,53291] : 434233720
range [80763,85236] : 223842887
range [78886,81028] : 109020202
range [53706,62669] : 449356912
range [13375,50565] : 862615039
range [50159,73523] : 175412610
range [78450,89225] : 541624694
range [7574,69129] : 88963778
range [5553,57498] : 603425229
range [60715,62177] : 73178528
range [3201,7476] : 211401359
range [26291,42651] : 822029313
range [59399,77510] : 912360730
range [68309,73604] : 267103727
range [73238,74039] : 39679953
range [28297,68099] : 997502401
range [5279,7134] : 91452014
range [61720,80165] : 928385641
range [46011,62402] : 820191988
range [63461,87689] : 218880585
range [22606,84138] : 91385083
range [57294,79280] : 106502963
range [9206,31059] : 95421701
range [60897,76050] : 761508970
range [64461,86694] : 119856785
range [1954,46445] : 229063083
range [585,17040] : 825322668
range [75020,86802] : 592750531
range [68720,74180] : 275574969
range [79038,86490] : 375682980
range [82230,82680] : 22035048
range [37065,38558] : 75091998
range [16829,86283] : 487013468
range [7615,41465] : 697825620
range [71493,72080] : 29209172
range [60887,89067] : 417939984
range [59860,88735] : 453500561
range [69436,70475] : 54257807
range [16052,57289] : 67197550
range [79433,81463] : 103975612
range [23921,54711] : 546547153
range [89179,89337] : 7547326
range [15181,78323] : 168541904
range [40313,64290] : 202792322
range [57002,61282] : 214210508
range [15260,18914] : 183370755
range [344,12501] : 607520236
range [50356,66401] : 807266271
range [48360,78469] : 514478666
range [38429,63161] : 243051805
range [68567,69801] : 64097653
range [24041,31222] : 361176090
range [21044,51033] : 502589073
range [39629,86433] : 353343107
range [50864,79555] : 443591086
range [32058,84508] : 636845953
range [51648,88626] : 860305589
range [17124,48134] : 552483308
range [19380,87871] : 438011294
range [55700,74555] : 948062662
range [31299,32410] : 53550519
range [23211,82523] : 982909375
range [36814,53723] : 851069943
range [81336,89085] : 388108527
range [49153,60363] : 563101360
range [88454,88799] : 18305780
range [17155,59783] : 135036037
range [65875,78170] : 618396355
range [4259,56083] : 597783679
range [66422,85822] : 977529270
range [35857,65225] : 474812950
range [46165,54071] : 395825686
range [40473,59791] : 969201672
range [75428,88146] : 639973607
range [33899,70699] : 850011286
range [48555,64060] : 778937808
range [12044,28727] : 836351691
range [2027,87826] : 304051263
range [23347,45066] : 93054586
range [13426,41665] : 415027353
range [81813,85943] : 207374293
range [14254,70216] : 809115815
range [81560,82426] : 43816233
range [757,66037] : 273437463
range [64510,79261] : 743728701
range [38640,79481] : 53847001
range [85294,88821] : 177919163
range [77584,87561] : 501540853
range [32650,78583] : 309052099
range [65517,80509] : 755687640
range [25884,86062] : 25224986
range [27545,59682] : 611646485
range [77923,79577] : 84240147
range [9541,73542] : 211284772
range [63115,69099] : 301240622
range [56850,65429] : 431935345
range [32123,43218] : 558941305
range [37487,53259] : 794287330
range [84987,87388] : 121511960
range [54217,60928] : 336296121
range [5500,44401] : 950879395
range [47612,80837] : 670117897
range [990,77008] : 811876451
range [70050,73006] : 149146203
range [25151,56340] : 565523819
range [57507,87556] : 510996378
range [63589,67945] : 220723638
range [15605,63676] : 409477642
range [42405,46326] : 197198954
range [87335,88788] : 73319882
range [16596,71365] : 748491231
range [8375,71496] : 169270926
range [16329,59350] : 155120737
range [88615,88803] : 9926629
range [78063,85689] : 385001792
range [49481,52380] : 145182093
range [78010,80571] : 131057193
range [5077,27892] : 141666782
range [61979,77889] : 799793723
range [43929,67571] : 186921718
range [64639,69533] : 245971827
range [53820,70010] : 813747232
range [85020,85962] : 49944623
range [68211,69050] : 42269702
range [35974,39716] : 188746719
range [35731,65373] : 488563814
range [37920,57872] : 1705655
range [51475,64414] : 649826312
range [22744,56714] : 704725808
range [13116,81753] : 447042145
range [57559,82877] : 275068276
range [73020,82812] : 493333993
range [23351,25469] : 107110060
range [16184,76407] : 19973649
range [59610,78336] : 942950260
range [87048,88508] : 72515773
range [34906,86096] : 575293924
range [10314,15014] : 235931838
range [6698,49207] : 131196909
range [70032,88200] : 912394326
range [27263,79538] : 626540496
range [50918,69672] : 943000190
range [8010,10723] : 136742548
range [74742,80260] : 278253543
range [9418,83242] : 706677141
range [627,64939] : 224505029
range [41838,53996] : 610121058
range [16056,20697] : 232465929
range [52848,58385] : 275498950
range [43414,45183] : 89025591
range [30476,34735] : 211526790
range [86621,86891] : 13844400
range [9978,77338] : 380367975
range [41723,83212] : 86021976
range [37175,55475] : 921075783
range [17961,71231] : 673714218
range [27829,81232] : 684493889
range [10761,89003] : 928637047
range [73224,83263] : 505880081
range [50141,59732] : 481603299
range [15560,22101] : 325896772
range [69912,85146] : 765339066
range [40561,79169] : 941625340
range [18716,88733] : 515513718
range [80511,89028] : 426901405
range [81566,88710] : 357678586
range [11607,39806] : 414126738
range [57643,67879] : 516180637
range [17834,41147] : 168198309
range [64334,76445] : 609029100
range [62519,65696] : 160004952
range [7907,39951] : 606624164
range [54967,78002] : 156457516
range [37554,61469] : 202729286
range [16384,49528] : 660753982
range [58830,62473] : 184280976
range [20596,67296] : 344771776
range [67235,68735] : 73087690
range [32012,54789] : 145196832
range [72817,88657] : 796065971
range [40392,85897] : 289284333
range [58852,81247] : 129624856
range [27542,45928] : 925216000
range [4275,51491] : 365769456
range [15519,38025] : 125161919
range [67199,87315] : 11250617
range [55989,71756] : 793808098
range [51638,86336] : 747558078
range [71785,83267] : 578354807
range [77675,80081] : 121581390
range [48625,84958] : 827616242
range [70123,80941] : 544211773
range [11023,14402] : 168223071
range [13405,50750] : 870614648
range [69573,74207] : 232912683
range [31724,86536] : 755418842
range [66848,84774] : 900897333
range [30302,66332] : 808848302
range [3833,11294] : 373019042
range [21826,63976] : 114570791
range [62096,69996] : 398155039
range [78963,82698] : 189813931
range [19814,24509] : 233613272
range [1740,15805] : 703732219
range [8132,73483] : 280608073
range [24208,63866] : 990744110
range [49687,59509] : 492294270
range [52421,76937] : 231831046
range [83988,84964] : 48492217
range [5021,38097] : 655648508
range [48202,85694] : 887232822
range [65701,80251] : 733015511
range [65588,76960] : 570999428
range [8894,65845] : 857013303
range [81667,83373] : 84678409
range [86101,88863] : 137718000
range [22944,27056] : 206290430
range [60014,74811] : 745709252
range [17839,68564] : 543070857
range [250,56050] : 796774676
range [86380,87704] : 64961790
range [74141,79085] : 249082029
range [33751,41827] : 406358481
range [35596,86114] : 541465197
range [79118,82825] : 187970147
range [73456,85981] : 631619399
range [87285,87623] : 16134847
range [5956,59129] : 664925439
range [27085,61929] : 750022855
range [46330,59181] : 642408506
range [64675,84747] : 9645616
range [40483,66739] : 320129903
range [39337,79356] : 12787735
range [83711,87607] : 195470537
range [73276,86448] : 663848697
range [21113,51004] : 497506528
range [6192,63479] : 873430330
range [58555,59083] : 25946385
range [73860,84052] : 513643959
range [16729,65072] : 423306545
range [59947,80000] : 10300117
range [83487,84992] : 74550793
range [14027,33156] : 958012480
range [15594,47839] : 615583355
range [83604,86964] : 169581068
range [80784,85340] : 228133079
range [86460,87922] : 72180867
range [35422,87113] : 599405025
range [1050,12104] : 553601997
range [72298,74074] : 87938293
range [43636,74377] : 542872830
range [79534,82771] : 163947599
range [55543,82874] : 375825309
range [18955,32873] : 695797645
range [52343,54554] : 112442144
range [26292,27966] : 84130204
range [79520,81924] : 123241165
range [26604,83722] : 871425100
range [24471,28127] : 184792315
range [10290,75047] : 250393715
range [29392,60133] : 540141586
range [30166,85544] : 782692025
range [7198,83422] : 828519181
range [64749,68005] : 165141463
range [60704,78165] : 878693884
range [13309,88823] : 791896292
range [58320,76192] : 900409835
range [59556,86743] : 370322716
range [1016,7596] : 327714229
range [53942,69813] : 797343786
range [53138,68566] : 773684550
range [48329,86726] : 932564719
range [80169,86500] : 318750407
range [50426,50494] : 3872837
range [46248,88746] : 136115505
range [50026,68496] : 927986851
range [76192,81977] : 295383556
range [9205,73549] : 229477706
range [82533,88921] : 319789471
range [47378,86761] : 981381848
range [55053,84752] : 492020800
range [21136,56318] : 764056833
range [1194,71172] : 512003018
range [11988,18217] : 313031699
range [76095,78285] : 111133237
range [54630,64114] : 475096135
range [52154,85772] : 692837418
range [26684,83971] : 880059156
range [48202,63676] : 777295404
range [51372,60916] : 479662466
range [50399,86157] : 802115985
range [57679,88832] : 568753110
range [64331,77722] : 675290196
range [32942,55257] : 121873916
range [66104,74986] : 447168638
range [3791,11669] : 394569171
range [41031,77957] : 854527347
range [63334,67787] : 225957296
range [82221,87986] : 287682852
range [53949,73019] : 958928746
range [67218,76284] : 453443730
range [27928,69471] : 86930314
range [50630,76055] : 278431503
range [22776,49225] : 327603134
range [78843,82954] : 208247730
range [17364,72459] : 765031415
range [52210,64933] : 639643420
range [24845,71420] : 342056087
range [1110,50764] : 487627301
range [58044,71817] : 695931159
range [43959,64319] : 19332878
range [83016,86412] : 170973138
range [37479,74990] : 887403909
range [85081,89020] : 199398068
range [1459,11633] : 508940842
range [21431,53298] : 598857647
range [46119,67153] : 56171239
range [5247,9335] : 205438260
range [70419,70488] : 3339713
range [83767,86193] : 123676761
range [78136,87084] : 450854262
range [67184,69431] : 111803645
range [76227,82063] : 298089663
range [63782,87116] : 175449794
range [3220,35574] : 619384844
range [67982,70547] : 129775131
range [75144,77935] : 139535943
range [48483,69171] : 41463373
range [85151,87810] : 133857468
range [75789,83257] : 378322665
range [87283,88823] : 77578064
range [58635,85399] : 347422805
range [34882,37283] : 120160922
range [57157,63598] : 323577893
range [3735,8595] : 242496638
range [12151,81844] : 500971658
range [7370,41643] : 719549787
range [26946,40058] : 659330748
range [49466,64119] : 735347387
range [20480,80891] : 34877170
range [8550,60561] : 608968714
range [28049,65956] : 903364448
range [86366,86400] : 1635521
range [23541,52941] : 477721092
range [67021,75473] : 423325967
range [2095,37871] : 788978825
range [80224,84665] : 222734890
range [48708,83704] : 761063959
range [44951,45664] : 36088258
range [6150,48810] : 138043053
range [75041,89333] : 718484253
range [1081,19904] : 943048724
range [78553,86845] : 417906147
range [6703,47339] : 37583040
range [35846,63185] : 372349502
range [1522,14192] : 632682405
range [128,22172] : 102044626
range [43217,65537] : 120361675
range [74915,86167] : 568189831
range [73603,84721] : 558917588
range [59730,65859] : 309091672
range [42310,66083] : 193347280
range [74170,87344] : 663639899
range [78505,85791] : 367958870
range [86911,89288] : 118796571
range [2832,17176] : 718626723
range [86990,88689] : 85489337
range [78653,80970] : 118090289
range [67424,85170] : 891574479
range [75754,77617] : 94762065
range [81628,87325] : 284734726
range [87009,89198] : 109475070
range [65980,79429] : 676726044
range [26041,53093] : 358990925
range [21926,59050] : 861243143
range [7271,27460] : 11847616
range [35351,77859] : 136222793
range [78892,85167] : 315552030
range [33914,43225] : 468293083
range [27557,49565] : 104167420
range [13738,28294] : 729150886
range [73099,79528] : 323365731
range [78354,84602] : 314564748
range [50906,71328] : 28806719
range [69536,69835] : 16050662
range [59516,67240] : 391863526
range [3328,86049] : 153035962
range [56167,75279] : 960711630
range [56476,66658] : 513451042
range [70900,82869] : 601864412
range [59828,79826] : 7702926
range [5790,46311] : 32486220
range [33503,61374] : 399374095
range [76798,77229] : 22219796
range [4346,43865] : 981657366
range [48114,59824] : 587421148
range [36606,67799] : 569080249
range [72398,76582] : 208745678
range [5370,45890] : 32823765
range [80064,88818] : 440624505
range [12037,61507] : 480514115
range [45512,54560] : 453101295
range [44108,61510] : 871320818
range [29933,35583] : 281670889
range [24222,79482] : 776605016
range [39059,72664] : 690112244
range [29206,70885] : 93106878
range [57118,84280] : 366787757
range [36814,64080] : 369538604
range [85843,86592] : 36859161
range [53675,65634] : 600168415
range [82164,83600] : 69991689
range [68484,77094] : 433298190
range [51444,87716] : 824814726
range [57891,76412] : 931611468
range [4700,44099] : 976791331
range [22051,57954] : 800810660
range [86615,88772] : 108703966
range [42656,53481] : 543621962
range [20809,88464] : 397091113
range [29843,81883] : 615966953
range [71423,71840] : 20381988
range [77943,78159] : 11176307
range [21777,69102] : 375345745
range [1005,33951] : 649252653
range [35096,44251] : 462216638
range [68491,76656] : 410912943
range [25960,86486] : 42876284
range [54299,64276] : 499515224
range [76615,78924] : 116930727
range [75208,88857] : 687447900
range [9313,34373] : 253989630
range [63678,77381] : 690129986
range [65865,88127] : 120011859
range [13735,37365] : 181836340
range [9544,51608] : 108051427
range [20550,63472] : 152918154
range [17487,71846] : 728289247
range [7512,16122] : 433893931
range [56908,71180] : 719703500
range [75516,87896] : 623494134
range [64341,69223] : 247223330
range [4114,81238] : 872171053
range [74878,87827] : 651070739
range [84008,89174] : 259567695
range [60599,80776] : 16521208
range [60361,75271] : 750479681
range [28265,34843] : 327990866
range [68616,86734] : 913667562
range [88001,88625] : 31814791
range [14265,50308] : 806043079
range [78378,83453] : 256516407
range [65746,69624] : 195113527
range [32046,53958] : 102082917
range [61733,71679] : 501432490
range [64342,69213] : 246695280
range [56979,80333] : 175828139
range [38298,68609] : 523493956
range [17378,46082] : 440051695
range [52035,54592] : 129545876
range [18758,46620] : 397296387
range [26583,58580] : 606317956
range [85482,88400] : 146681664
range [25689,30284] : 232148016
range [48346,53375] : 254435762
range [65990,70501] : 228068149
range [3491,38816] : 768077896
range [18572,78012] : 983477121
range [12838,33238] : 21496793
range [20246,41925] : 87110138
range [65535,67463] : 98036458
range [20540,53973] : 678051789
range [8458,51538] : 159243943
range [36653,43102] : 326057499
range [1680,69235] : 387311547
range [44728,84873] : 16767408
range [36901,56086] : 964461630
range [7342,15341] : 402370738
range [23105,40390] : 868630243
range [88268,88299] : 1500886
range [2073,88009] : 312264132
range [13347,77392] : 213725595
range [51441,56876] : 273306946
range [59913,60869] : 48477131
range [71099,78284] : 360001447
range [62825,83953] : 63524498
range [85549,85561] : 593974
range [5770,62578] : 849347971
range [82054,89284] : 360707196
range [11494,67616] : 816459180
range [19888,22364] : 122647600
range [34866,80524] : 297620471
range [67042,77158] : 507171772
range [4225,71513] : 377676220
range [42078,78019] : 804446990
range [50761,78385] : 390107257
range [60744,71189] : 527425439
range [52512,76917] : 225851513
range [71593,74911] : 165920982
range [80917,83139] : 112337920
range [21595,21762] : 8043957
range [9632,76951] : 377507550
range [69377,73964] : 230823646
range [44732,82635] : 906148861
range [61253,75126] : 699576191
range [59212,66066] : 346924087
range [23485,34644] : 560463264
range [23679,70171] : 336814068
range [51422,60192] : 440012369
range [36504,63513] : 356492648
range [853,14911] : 703611246
range [83866,88599] : 238132799
range [82562,83349] : 38889963
range [87366,89117] : 88185096
range [3540,57972] : 727208192
range [36233,66495] : 520136459
range [65039,74689] : 486429234
range [60957,75607] : 735735182
range [5168,33077] : 397314085
range [50076,76683] : 337392205
range [73628,82087] : 428401143
range [11398,11526] : 6887288
range [35515,71900] : 829733838
range [4827,77293] : 636784921
range [30557,76541] : 308015272
range [68923,71166] : 115175556
range [1586,3745] : 107342041
range [24354,36262] : 598069389
range [16863,27974] : 554406213
range [84236,85500] : 63533555
range [55200,66547] : 569552847
range [43988,78262] : 720300271
range [11697,19823] : 407107937
range [54812,67035] : 614246100
range [10441,19313] : 444925777
range [6810,52783] : 305897950
range [88131,89351] : 61320146
range [26718,69798] : 165057668
range [71215,73756] : 125824675
range [77634,79729] : 106399607
range [4060,19738] : 785072542
range [31082,46525] : 775225979
range [59208,81567] : 128883791
range [38387,55351] : 854161028
range [18147,43674] : 279736612
range [53165,85151] : 607885903
range [4949,74425] : 485740019
range [62577,79821] : 867927736
range [62306,78794] : 829668351
range [48667,75662] : 356188100
range [69890,78233] : 418949999
range [27604,85605] : 915438414
range [61700,75989] : 717890772
range [20757,59487] : 940606429
range [51786,64773] : 652433484
range [57626,81626] : 209994671
range [35586,69147] : 686150764
range [3163,62202] : 958363143
range [83128,84946] : 90002487
range [87303,88629] : 66656288
range [57205,79177] : 106399000
range [71591,88691] : 860130150
range [14832,24418] : 479122331
range [58956,77710] : 944890216
range [47783,85161] : 879037090
range [80861,87036] : 310818217
range [18803,70264] : 583168165
range [34798,79826] : 263658394
range [87964,88803] : 43309212
range [10875,38240] : 369241714
range [39940,48696] : 438040051
range [26536,84239] : 900200950
range [20566,24616] : 200799780
range [74174,82051] : 399587808
range [83000,88147] : 257237870
range [60422,66344] : 298098006
range [28061,48892] : 44044775
range [70438,87351] : 849901055
range [49667,73142] : 181135729
range [11082,24354] : 663278342
range [59495,73031] : 683755815
range [50697,51705] : 51202294
range [57458,88904] : 582918540
range [25622,86513] : 61159301
range [13695,15894] : 109330828
range [10008,57988] : 403921534
range [38291,76384] : 913968964
range [54407,75451] : 56681668
range [78497,83733] : 264018443
range [71375,72012] : 31701510
range [61005,73254] : 616660737
range [999,46599] : 285379919
range [80949,88300] : 368504322
range [82769,85849] : 154894705
range [78008,86002] : 404111660
range [34291,54834] : 32047334
range [17356,65213] : 399647029
range [16917,77818] : 55339821
range [61808,80143] : 922489047
range [52928,88844] : 806761110
range [29621,82474] : 655893619
range [24200,87942] : 202485310
range [5377,14300] : 445760605
range [25677,43150] : 878877631
range [44656,55753] : 555474556
range [79907,83870] : 199983566
range [81048,86457] : 272597839
range [67380,86328] : 953898454
range [21996,38289] : 815576427
range [20976,87097] : 321105070
range [21791,37053] : 763669500
range [8537,21449] : 647508561
range [10855,47600] : 842468752
range [48899,81504] : 642475011
range [40307,81799] : 87423955
range [63391,79661] : 819962722
range [68563,80246] : 589934958
range [23699,85653] : 114965092
range [46846,69605] : 143688560
range [17962,73078] : 766118202
range [12018,67998] : 808775474
range [170,49935] : 491923684
range [78825,87982] : 461063866
range [45381,70962] : 285013481
range [62058,89358] : 373487895
range [84244,88587] : 218620486
range [1178,27999] : 341892893
range [2803,14855] : 602371644
range [45185,77560] : 625140615
range [55415,57049] : 80646008
range [29994,33193] : 158748809
range [56774,58902] : 105660769
range [12079,24686] : 629190471
range [49751,80675] : 556748751
range [68174,79139] : 552343320
range [23447,62844] : 979113817
range [39680,48295] : 430703731
range [43082,60629] : 879405300
range [55712,62822] : 356965090
range [18203,22334] : 204563141
range [38559,68121] : 486129501
range [31371,76751] : 277429412
range [35877,87675] : 602473404
range [67375,77924] : 529233243
range [81697,86704] : 250828211
range [18440,44003] : 282456510
range [42885,81716] : 952586322
range [73818,79489] : 286200671
range [10521,82141] : 597745680
range [11711,29185] : 877121846
range [57732,57849] : 4848642
range [56943,65463] : 428986902
range [24623,41699] : 858714502
range [68287,83662] : 774805098
range [18168,32767] : 728121470
range [14153,40928] : 343701832
range [62703,71678] : 452799729
range [26350,69164] : 150869444
range [46022,58086] : 600977109
range [18790,34623] : 791786288
range [26351,55636] : 470179233
range [54096,87904] : 699920192
range [5249,38337] : 656202011
range [83131,87625] : 224848194
range [43538,77838] : 722100165
range [84420,86016] : 81125291
range [72876,89375] : 829235699
range [77048,82980] : 300983285
range [70714,77844] : 357145744
range [67320,71122] : 191128311
range [46794,61720] : 749442890
range [32398,70771] : 929660670
range [6438,16178] : 489727945
range [49873,62238] : 620439573
range [52221,58692] : 324347464
range [31650,54823] : 163877581
range [6457,12096] : 283657212
range [71121,88235] : 859620036
range [39617,59462] : 994130512
range [13884,61024] : 363421915
range [17378,36588] : 960799068
range [1169,46127] : 254529269
range [20192,40664] : 25291592
range [35145,86712] : 593123782
range [80384,84751] : 218384356
range [78572,85518] : 349884154
range [50950,64615] : 686916525
range [65691,84778] : 960419887
range [81256,82539] : 65196314
range [19010,37231] : 911060307
range [48988,64758] : 791954884
range [16748,39071] : 116703609
range [1347,61973] : 39216659
range [23480,86353] : 162191209
range [77254,84384] : 359960480
range [34372,40150] : 290742670
range [87737,88900] : 59428600
range [82005,87127] : 255559585
range [61357,86423] : 263409344
range [4632,20796] : 810138272
range [76483,83111] : 336409162
range [23909,30316] : 322853681
range [60822,81308] : 32769548
range [36482,40174] : 186190492
range [84387,88847] : 224887711
range [70284,73134] : 143188606
range [74720,79009] : 215775807
range [68282,70661] : 121705620
range [83612,86762] : 159051942
range [56245,73134] : 850000664
range [62703,73323] : 534665270
range [64,60899] : 48087518
range [60367,73908] : 681355852
range [49987,81129] : 567721792
range [29076,55255] : 312000871
range [6206,81393] : 775879900
range [48663,51390] : 137061684
range [4160,49935] : 293052117
range [4093,79900] : 803667016
range [6036,79960] : 710405424
range [78325,87835] : 478809288
